Patient,Neuron Name,Pre-Stim T-Score,Pre-Stim P-Value,Pre-Stim Significant,Post-Stim T-Score,Post-Stim P-Value,Post-Stim Significant,T-Score Diff (Pre - Post),Post-Stim Mean Rate (Hz),N Clips
P574_exp_10_preSleep,times_manual_GB1-LEC8_unit_3,1.8636227509478958,0.06639771452974859,False,1.4010811082200423,0.16544897406485778,False,0.4625416427278535,1.7333333333333334,75
P574_exp_10_preSleep,times_manual_GB1-LEC8_unit_4,0.08392046559487341,0.933383635246566,False,0.1285960845815147,0.8980365235941637,False,-0.04467561898664128,4.453333333333333,75
P574_exp_10_preSleep,times_manual_GB1-LEC8_unit_5,0.08300645321005279,0.9340853354290086,False,2.092505282478353,0.04046563205828277,True,-2.0094988292683005,6.16,75
P574_exp_10_preSleep,times_manual_GB2-LA1_unit_1,-0.2679622628194935,0.7896621410186093,False,-0.6321710689341614,0.5295558198980478,False,0.36420880611466794,0.88,75
P574_exp_10_preSleep,times_manual_GB2-LA3_unit_1,2.126134981488056,0.0368812305794927,True,1.1621361346735004,0.24947869823372437,False,0.9639988468145557,10.813333333333333,75
P574_exp_10_preSleep,times_manual_GB2-LA4_unit_1,0.8986921848436541,0.37193866226676975,False,-0.2617331144457622,0.7943434675452639,False,1.1604252992894164,3.9066666666666667,75
P574_exp_10_preSleep,times_manual_GB2-LA6_unit_1,1.5728295605695404,0.12044661227894743,False,0.5258789291214379,0.6006615398842603,False,1.0469506314481025,1.5733333333333333,75
P574_exp_10_preSleep,times_manual_GB2-LA7_unit_1,1.5949381322645302,0.11531802682533018,False,-0.1970781749705514,0.8443707001026471,False,1.7920163072350817,2.3466666666666667,75
P574_exp_10_preSleep,times_manual_GB2-LA7_unit_2,-0.19297264268456854,0.8475199813596117,False,-0.4372078146508004,0.6633088966439946,False,0.24423517196623185,0.5866666666666667,75
P574_exp_10_preSleep,times_manual_GB2-LA8_unit_1,1.662299905784074,0.10128552241666343,False,0.7762498357798664,0.4401099454992087,False,0.8860500700042075,3.2666666666666666,75
P574_exp_10_preSleep,times_manual_GB3-LAH3_unit_1,0.016459239664598953,0.9869129508156492,False,-1.8000725807581597,0.07716344694318393,False,1.8165318204227587,2.84,75
P574_exp_10_preSleep,times_manual_GC1-ROF1_unit_1,1.5858153434913052,0.11736216441514143,False,1.124481655718723,0.26490866352110004,False,0.4613336877725822,5.72,75
